2019-02-27 16:22:56 install libc-bin:i386 <none> 2.23-0ubuntu3
2019-02-27 16:22:56 status half-installed libc-bin:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status unpacked libc-bin:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status unpacked libc-bin:i386 2.23-0ubuntu3
2019-02-27 16:22:56 upgrade libc6:i386 2.23-0ubuntu3 2.23-0ubuntu3
2019-02-27 16:22:56 status half-configured libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status half-installed libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status half-installed libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:56 install libcap2:i386 <none> 1:2.24-12
2019-02-27 16:22:56 status half-installed libcap2:i386 1:2.24-12
2019-02-27 16:22:56 status unpacked libcap2:i386 1:2.24-12
2019-02-27 16:22:56 status unpacked libcap2:i386 1:2.24-12
2019-02-27 16:22:56 install libcap2-bin:i386 <none> 1:2.24-12
2019-02-27 16:22:56 status half-installed libcap2-bin:i386 1:2.24-12
2019-02-27 16:22:56 status unpacked libcap2-bin:i386 1:2.24-12
2019-02-27 16:22:56 status unpacked libcap2-bin:i386 1:2.24-12
2019-02-27 16:22:56 install libcomerr2:i386 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:56 status half-installed libcomerr2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:56 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:56 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2019-02-27 16:22:56 install libcryptsetup4:i386 <none> 2:1.6.6-5ubuntu2
2019-02-27 16:22:56 status half-installed libcryptsetup4:i386 2:1.6.6-5ubuntu2
2019-02-27 16:22:56 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2019-02-27 16:22:56 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2019-02-27 16:22:56 install libdb5.3:i386 <none> 5.3.28-11
2019-02-27 16:22:56 status half-installed libdb5.3:i386 5.3.28-11
2019-02-27 16:22:56 status unpacked libdb5.3:i386 5.3.28-11
2019-02-27 16:22:56 status unpacked libdb5.3:i386 5.3.28-11
2019-02-27 16:22:56 install libdebconfclient0:i386 <none> 0.198ubuntu1
2019-02-27 16:22:56 status half-installed libdebconfclient0:i386 0.198ubuntu1
2019-02-27 16:22:56 status unpacked libdebconfclient0:i386 0.198ubuntu1
2019-02-27 16:22:56 status unpacked libdebconfclient0:i386 0.198ubuntu1
2019-02-27 16:22:56 install libdevmapper1.02.1:i386 <none> 2:1.02.110-1ubuntu10
2019-02-27 16:22:56 status half-installed libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2019-02-27 16:22:56 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2019-02-27 16:22:56 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2019-02-27 16:22:56 install libfdisk1:i386 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:56 status half-installed libfdisk1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2019-02-27 16:22:57 install libgcc1:i386 <none> 1:6.0.1-0ubuntu1
2019-02-27 16:22:57 status half-installed libgcc1:i386 1:6.0.1-0ubuntu1
2019-02-27 16:22:57 status unpacked libgcc1:i386 1:6.0.1-0ubuntu1
